,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,mid_price,days_to_expiration
0,AAPL240712C00100000,2024-07-05 13:30:05+00:00,100.0,122.02,126.05,127.45,0.0,0.0,7.0,9,3.0117212207031248,True,REGULAR,USD,2024-07-12,2.4997525675910657,0.0
1,AAPL240712C00105000,2024-06-25 14:54:30+00:00,105.0,104.97,120.75,122.1,0.0,0.0,,1,3.3203141992187497,True,REGULAR,USD,2024-07-12,2.357481848034053,0.0
2,AAPL240712C00120000,2024-07-05 15:38:00+00:00,120.0,105.1,106.0,107.4,0.0,0.0,4.0,10,2.2929730175781247,True,REGULAR,USD,2024-07-12,1.9640665718881365,0.0
3,AAPL240712C00125000,2024-07-05 13:30:04+00:00,125.0,97.07,100.95,102.4,0.0,0.0,2.0,2,2.1015672460937496,True,REGULAR,USD,2024-07-12,1.8298111041371534,0.0
4,AAPL240712C00130000,2024-07-08 15:01:56+00:00,130.0,95.69,95.85,97.05,11.4900055,13.646087,1.0,11,2.4433632666015628,True,REGULAR,USD,2024-07-12,1.69021213518215,0.0
5,AAPL240712C00135000,2024-07-05 16:40:45+00:00,135.0,90.22,91.05,92.5,0.0,0.0,3.0,3,2.019536201171875,True,REGULAR,USD,2024-07-12,1.5653077945382006,0.0
6,AAPL240712C00140000,2024-06-11 13:37:22+00:00,140.0,57.45,86.0,87.5,0.0,0.0,,1,1.859375703125,True,REGULAR,USD,2024-07-12,1.4310523267872168,0.0
7,AAPL240712C00145000,2024-06-28 19:00:49+00:00,145.0,68.5,80.8,82.15,0.0,0.0,20.0,21,2.0839891650390623,True,REGULAR,USD,2024-07-12,1.2901174825312092,0.0
8,AAPL240712C00150000,2024-07-03 16:17:09+00:00,150.0,71.08,76.05,77.5,0.0,0.0,1.0,11,1.6484392578125,True,REGULAR,USD,2024-07-12,1.1645452042367572,0.0
9,AAPL240712C00155000,2024-07-05 16:09:24+00:00,155.0,70.38,71.0,72.25,0.0,0.0,21.0,21,1.2968785156249998,True,REGULAR,USD,2024-07-12,1.0269500482332616,0.0
10,AAPL240712C00160000,2024-07-05 19:27:16+00:00,160.0,65.84,66.25,67.25,0.0,0.0,2.0,14,1.3906280468749999,True,REGULAR,USD,2024-07-12,0.8967022063852925,0.0
11,AAPL240712C00165000,2024-07-05 19:02:26+00:00,165.0,60.65,60.9,62.35,0.0,0.0,33.0,46,1.1015669921875002,True,REGULAR,USD,2024-07-12,0.7597749880322994,0.0
12,AAPL240712C00170000,2024-07-08 15:20:07+00:00,170.0,56.73,56.7,57.25,0.7900009,1.4122291,6.0,254,1.3408236083984373,True,REGULAR,USD,2024-07-12,0.635538585038852,0.0
13,AAPL240712C00175000,2024-07-08 15:04:15+00:00,175.0,51.05,51.6,52.45,0.55999756,1.1091256,39.0,406,1.2519568652343749,True,REGULAR,USD,2024-07-12,0.5032869302393758,0.0
14,AAPL240712C00180000,2024-07-08 15:14:10+00:00,180.0,46.35,46.7,47.2,-0.060001373,-0.12928544,99.0,667,1.0996138769531252,True,REGULAR,USD,2024-07-12,0.36769558718738743,0.0
15,AAPL240712C00185000,2024-07-08 15:02:49+00:00,185.0,40.96,41.55,42.25,-0.31000137,-0.7511543,10.0,478,0.96289099609375,True,REGULAR,USD,2024-07-12,0.2327721817859014,0.0
16,AAPL240712C00187500,2024-07-08 15:06:49+00:00,187.5,38.56,39.15,39.95,0.5600014,1.4736878,3.0,88,0.9775392871093751,True,REGULAR,USD,2024-07-12,0.16998604263867523,0.0
17,AAPL240712C00190000,2024-07-08 14:50:40+00:00,190.0,35.16,36.55,37.3,-1.4099998,-3.855619,2.0,871,0.868165380859375,True,REGULAR,USD,2024-07-12,0.09985258933592266,0.0
18,AAPL240712C00192500,2024-07-08 14:44:59+00:00,192.5,32.85,33.45,34.9,-0.8199997,-2.4354017,2.0,210,0.6640658593750002,True,REGULAR,USD,2024-07-12,0.026379447780658056,0.0
19,AAPL240712C00195000,2024-07-08 15:14:13+00:00,195.0,31.41,31.7,32.25,0.55999947,1.8152332,41.0,2347,0.7817404638671875,True,REGULAR,USD,2024-07-12,-0.03239906546355351,0.0
20,AAPL240712C00197500,2024-07-08 15:02:49+00:00,197.5,28.42,28.8,29.7,-0.030000687,-0.10545056,2.0,91,0.6250037500000001,True,REGULAR,USD,2024-07-12,-0.10520426936831576,0.0
21,AAPL240712C00200000,2024-07-08 15:11:36+00:00,200.0,26.5,26.85,27.05,0.40999985,1.5714828,207.0,5473,0.6645541357421877,True,REGULAR,USD,2024-07-12,-0.166654533214537,0.0
