,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,mid_price,days_to_expiration
0,GME240712C00005000,2024-06-27 18:15:16+00:00,5.0,20.0,19.65,20.35,0.0,0.0,3,17,9.265629208984375,True,REGULAR,USD,2024-07-12,3.768875279377655,0.0
1,GME240712C00009000,2024-06-26 17:22:43+00:00,9.0,15.53,15.65,16.35,0.0,0.0,5,20,6.0000025,True,REGULAR,USD,2024-07-12,2.893260699938795,0.0
2,GME240712C00010000,2024-07-08 15:07:35+00:00,10.0,15.0,14.65,15.2,0.9499998,6.7615647,159,166,5.12500359375,True,REGULAR,USD,2024-07-12,2.6579392817146013,0.0
3,GME240712C00011000,2024-07-05 13:40:59+00:00,11.0,12.86,13.65,14.3,0.0,0.0,6,7,4.835941455078125,True,REGULAR,USD,2024-07-12,2.4499808190978722,0.0
4,GME240712C00012000,2024-07-08 14:55:01+00:00,12.0,12.73,12.65,13.35,0.5099993,4.17348,5,12,4.4687544140624995,True,REGULAR,USD,2024-07-12,2.23654976535965,0.0
5,GME240712C00013000,2024-07-08 14:47:45+00:00,13.0,11.79,11.65,12.3,0.48999977,4.3362813,4,23,3.968750078125,True,REGULAR,USD,2024-07-12,2.012173529378442,0.0
6,GME240712C00014000,2024-07-08 14:43:54+00:00,14.0,10.61,10.65,11.3,0.29999924,2.9097888,3,24,3.58593853515625,True,REGULAR,USD,2024-07-12,1.7932698845187272,0.0
7,GME240712C00015000,2024-07-08 15:17:31+00:00,15.0,9.95,9.8,10.2,0.75,8.152174,9,163,3.28906427734375,True,REGULAR,USD,2024-07-12,1.5798388307805047,0.0
8,GME240712C00015500,2024-07-05 16:18:22+00:00,15.5,9.1,9.15,9.9,0.0,0.0,1,13,3.175783310546875,True,REGULAR,USD,2024-07-12,1.4758595994721402,0.0
9,GME240712C00016000,2024-07-05 19:54:01+00:00,16.0,8.22,8.65,9.4,0.0,0.0,4,113,3.003908740234375,True,REGULAR,USD,2024-07-12,1.3664077770422827,0.0
10,GME240712C00016500,2024-07-08 14:58:54+00:00,16.5,8.29,8.15,8.85,0.3800001,4.804047,5,67,2.7812530468750003,True,REGULAR,USD,2024-07-12,1.2514833634909321,0.0
11,GME240712C00017000,2024-07-08 15:21:10+00:00,17.0,7.95,7.65,8.35,0.19999981,2.5806427,7,72,2.61719095703125,True,REGULAR,USD,2024-07-12,1.1420315410610746,0.0
12,GME240712C00017500,2024-07-05 13:44:24+00:00,17.5,6.44,7.05,7.9,0.0,0.0,2,22,2.4062539843749997,True,REGULAR,USD,2024-07-12,1.0271071275097243,0.0
13,GME240712C00018000,2024-07-08 14:06:34+00:00,18.0,6.5,6.7,7.3,0.17000008,2.6856253,9,142,2.3046917382812495,True,REGULAR,USD,2024-07-12,0.9231278962013597,0.0
14,GME240712C00018500,2024-07-08 15:08:47+00:00,18.5,6.37,6.2,6.6,0.65999985,11.558666,2,109,1.9453127734375002,True,REGULAR,USD,2024-07-12,0.7917857092855308,0.0
15,GME240712C00019000,2024-07-08 14:22:49+00:00,19.0,5.59,5.6,6.4,0.24000025,4.485986,4,94,2.003911240234375,True,REGULAR,USD,2024-07-12,0.7042242513416448,0.0
16,GME240712C00019500,2024-07-08 13:47:33+00:00,19.5,4.56,5.2,5.9,-0.30999994,-6.365502,10,95,1.9433596582031252,True,REGULAR,USD,2024-07-12,0.6057176111547732,0.0
17,GME240712C00020000,2024-07-08 15:17:44+00:00,20.0,5.1,4.7,5.25,0.9000001,21.428574,168,2021,1.671876640625,True,REGULAR,USD,2024-07-12,0.47984801536043675,0.0
18,GME240712C00020500,2024-07-08 14:57:42+00:00,20.5,4.28,4.2,4.85,0.5200002,13.829793,9,412,1.609376953125,True,REGULAR,USD,2024-07-12,0.38134137517356514,0.0
19,GME240712C00021000,2024-07-08 15:20:57+00:00,21.0,4.01,3.8,4.05,0.8100002,25.391855,61,628,1.3085972070312497,True,REGULAR,USD,2024-07-12,0.24999918825773604,0.0
20,GME240712C00021500,2024-07-08 15:05:38+00:00,21.5,3.4,3.2,3.75,0.68000007,25.000002,58,158,1.2480506347656248,True,REGULAR,USD,2024-07-12,0.15149254807086432,0.0
21,GME240712C00022000,2024-07-08 15:23:04+00:00,22.0,3.05,2.87,3.25,0.66999984,28.151253,204,284,1.21875390625,True,REGULAR,USD,2024-07-12,0.060647535454082586,0.0
22,GME240712C00022500,2024-07-08 15:22:13+00:00,22.5,2.73,2.42,2.59,0.69000006,36.315796,153,1220,1.0039112304687499,True,REGULAR,USD,2024-07-12,-0.06084398744305929,0.0
23,GME240712C00023000,2024-07-08 15:21:15+00:00,23.0,2.0,2.1,2.25,0.39999998,24.999998,409,924,1.0429735351562504,True,REGULAR,USD,2024-07-12,-0.13308219024676526,0.0
24,GME240712C00023500,2024-07-08 15:22:21+00:00,23.5,1.88,1.62,1.88,0.58000004,49.572655,616,1190,0.9531254687499999,True,REGULAR,USD,2024-07-12,-0.2261162393121441,0.0
25,GME240712C00024000,2024-07-08 15:23:47+00:00,24.0,1.42,1.36,1.5,0.36,33.027523,2971,4622,0.93945373046875,True,REGULAR,USD,2024-07-12,-0.29616540566725286,0.0
26,GME240712C00024500,2024-07-08 15:23:38+00:00,24.5,1.2,1.16,1.26,0.35000002,41.176476,3921,1825,0.98242205078125,True,REGULAR,USD,2024-07-12,-0.3443242075363902,0.0
27,GME240712C00025000,2024-07-08 15:24:16+00:00,25.0,0.97,0.98,1.02,0.23000002,31.081083,10157,10184,1.001958115234375,False,REGULAR,USD,2024-07-12,-0.39029397295693036,0.0
28,GME240712C00025500,2024-07-08 15:22:58+00:00,25.5,0.85,0.84,0.85,0.23000002,37.09678,2769,1669,1.0410204199218753,False,REGULAR,USD,2024-07-12,-0.4242240379101862,0.0
29,GME240712C00026000,2024-07-08 15:24:33+00:00,26.0,0.7,0.69,0.72,0.13,22.807018,4975,6915,1.0683640332031252,False,REGULAR,USD,2024-07-12,-0.4548705481905463,0.0
30,GME240712C00026500,2024-07-08 15:23:57+00:00,26.5,0.62,0.6,0.62,0.050000012,8.771932,1041,1161,1.1171919140625,False,REGULAR,USD,2024-07-12,-0.47566639445221925,0.0
31,GME240712C00027000,2024-07-08 15:24:20+00:00,27.0,0.53,0.52,0.53,0.07999998,18.181814,3038,3261,1.15625421875,False,REGULAR,USD,2024-07-12,-0.49427320426529503,0.0
32,GME240712C00027500,2024-07-08 15:24:16+00:00,27.5,0.46,0.46,0.47,0.04000002,9.302331,581,700,1.2070352148437498,False,REGULAR,USD,2024-07-12,-0.5074074229568779,0.0
33,GME240712C00028000,2024-07-08 15:24:12+00:00,28.0,0.42,0.39,0.42,0.059999973,16.666658,1791,3599,1.2460975195312498,False,REGULAR,USD,2024-07-12,-0.5205416416484608,0.0
34,GME240712C00028500,2024-07-08 15:22:03+00:00,28.5,0.37,0.34,0.37,0.03999999,12.121209,477,709,1.2832067089843748,False,REGULAR,USD,2024-07-12,-0.5314868238914465,0.0
35,GME240712C00029000,2024-07-08 15:23:36+00:00,29.0,0.34,0.33,0.35,0.02000001,6.2500033,831,1295,1.3574250878906249,False,REGULAR,USD,2024-07-12,-0.5347703785643423,0.0
36,GME240712C00029500,2024-07-08 15:21:41+00:00,29.5,0.32,0.3,0.32,0.00999999,3.33333,454,680,1.40625296875,False,REGULAR,USD,2024-07-12,-0.5413374879101337,0.0
37,GME240712C00030000,2024-07-08 15:24:33+00:00,30.0,0.28,0.28,0.29,0.0,0.0,7349,12764,1.453127734375,False,REGULAR,USD,2024-07-12,-0.5468100790316266,0.0
38,GME240712C00030500,2024-07-08 15:22:55+00:00,30.5,0.27,0.25,0.28,-0.01999998,-6.666661,282,373,1.501955615234375,False,REGULAR,USD,2024-07-12,-0.5511881519288209,0.0
39,GME240712C00031000,2024-07-08 15:22:58+00:00,31.0,0.25,0.24,0.26,-0.00999999,-3.8461504,388,759,1.5546897265624997,False,REGULAR,USD,2024-07-12,-0.5544717066017166,0.0
40,GME240712C00031500,2024-07-08 15:17:32+00:00,31.5,0.23,0.21,0.25,-0.019999996,-7.999998,55,98,1.5937520312499998,False,REGULAR,USD,2024-07-12,-0.5588497794989109,0.0
41,GME240712C00032000,2024-07-08 15:16:05+00:00,32.0,0.23,0.22,0.24,0.0,0.0,259,751,1.6640641796875002,False,REGULAR,USD,2024-07-12,-0.5588497794989109,0.0
42,GME240712C00032500,2024-07-08 15:24:47+00:00,32.5,0.22,0.19,0.24,-0.030000001,-13.636364,98,310,1.7070327148437499,False,REGULAR,USD,2024-07-12,-0.5621333341718067,0.0
43,GME240712C00033000,2024-07-08 15:21:17+00:00,33.0,0.19,0.2,0.21,-0.019999996,-9.523808,369,878,1.75390748046875,False,REGULAR,USD,2024-07-12,-0.5643223706204038,0.0
44,GME240712C00034000,2024-07-08 15:12:45+00:00,34.0,0.18,0.17,0.19,-0.029999986,-14.285707,789,534,1.8281258593749998,False,REGULAR,USD,2024-07-12,-0.5697949617418967,0.0
45,GME240712C00035000,2024-07-08 15:20:11+00:00,35.0,0.16,0.15,0.17,-0.030000001,-15.789474,1822,5497,1.8984380078125,False,REGULAR,USD,2024-07-12,-0.574173034639091,0.0
46,GME240712C00036000,2024-07-08 15:17:01+00:00,36.0,0.15,0.14,0.15,-0.049999997,-24.999998,223,962,1.97265638671875,False,REGULAR,USD,2024-07-12,-0.5774565893119867,0.0
47,GME240712C00037000,2024-07-08 15:12:29+00:00,37.0,0.13,0.13,0.14,-0.030000001,-18.75,134,350,2.050786123046875,False,REGULAR,USD,2024-07-12,-0.5796456257605839,0.0
48,GME240712C00038000,2024-07-08 15:23:35+00:00,38.0,0.12,0.11,0.12,-0.030000009,-18.750006,123,243,2.0859422851562495,False,REGULAR,USD,2024-07-12,-0.5840236986577783,0.0
49,GME240712C00039000,2024-07-08 14:37:21+00:00,39.0,0.1,0.1,0.12,-0.059999995,-37.499996,185,586,2.1718795703125,False,REGULAR,USD,2024-07-12,-0.5851182168820768,0.0
50,GME240712C00040000,2024-07-08 15:22:53+00:00,40.0,0.1,0.1,0.11,-0.059999995,-35.294117,1959,6828,2.2421918945312496,False,REGULAR,USD,2024-07-12,-0.5862127351063753,0.0
51,GME240712C00041000,2024-07-08 15:19:20+00:00,41.0,0.09,0.09,0.1,-0.060000002,-40.0,171,199,2.28906677734375,False,REGULAR,USD,2024-07-12,-0.5884017715549724,0.0
52,GME240712C00042000,2024-07-08 14:57:35+00:00,42.0,0.07,0.08,0.1,-0.04,-36.363636,24,217,2.3593791015624994,False,REGULAR,USD,2024-07-12,-0.589496289779271,0.0
53,GME240712C00043000,2024-07-08 15:23:34+00:00,43.0,0.09,0.07,0.09,-0.049999997,-35.714283,66,77,2.3906290234374996,False,REGULAR,USD,2024-07-12,-0.5916853262278682,0.0
54,GME240712C00044000,2024-07-08 15:14:12+00:00,44.0,0.07,0.07,0.09,-0.049999997,-41.666664,2,167,2.468753828125,False,REGULAR,USD,2024-07-12,-0.5916853262278682,0.0
55,GME240712C00045000,2024-07-08 15:22:03+00:00,45.0,0.07,0.07,0.08,-0.049999997,-38.461536,344,1277,2.5234411914062496,False,REGULAR,USD,2024-07-12,-0.5927798444521667,0.0
56,GME240712C00046000,2024-07-08 14:58:39+00:00,46.0,0.06,0.06,0.1,-0.040000003,-40.000004,22,272,2.6250034375,False,REGULAR,USD,2024-07-12,-0.5916853262278682,0.0
57,GME240712C00047000,2024-07-08 15:07:39+00:00,47.0,0.08,0.04,0.09,-0.030000001,-27.272728,41,152,2.6093784765625,False,REGULAR,USD,2024-07-12,-0.5949688809007639,0.0
58,GME240712C00048000,2024-07-08 15:08:56+00:00,48.0,0.07,0.05,0.08,-0.080000006,-53.333336,13,1058,2.67969080078125,False,REGULAR,USD,2024-07-12,-0.5949688809007639,0.0
59,GME240712C00049000,2024-07-05 19:59:18+00:00,49.0,0.07,0.03,0.27,0.0,0.0,83,1010,3.13281466796875,False,REGULAR,USD,2024-07-12,-0.5763620710876882,0.0
60,GME240712C00050000,2024-07-08 15:22:23+00:00,50.0,0.06,0.05,0.06,-0.02,-25.0,1762,4241,2.750003125,False,REGULAR,USD,2024-07-12,-0.5971579173493611,0.0
61,GME240712C00051000,2024-07-05 19:54:59+00:00,51.0,0.13,0.02,0.16,0.0,0.0,61,274,3.0156274609375,False,REGULAR,USD,2024-07-12,-0.589496289779271,0.0
62,GME240712C00052000,2024-07-08 15:21:33+00:00,52.0,0.05,0.04,0.05,-0.29,-85.29411,17,199,2.7968780078125004,False,REGULAR,USD,2024-07-12,-0.5993469537979582,0.0
63,GME240712C00053000,2024-07-08 14:11:59+00:00,53.0,0.04,0.02,0.08,-0.07,-63.636364,2,18,2.8906277734375,False,REGULAR,USD,2024-07-12,-0.5982524355736597,0.0
64,GME240712C00054000,2024-07-08 13:52:18+00:00,54.0,0.06,0.03,0.11,-0.14,-70.0,1,41,3.0937522656249996,False,REGULAR,USD,2024-07-12,-0.5938743626764654,0.0
65,GME240712C00055000,2024-07-08 15:12:54+00:00,55.0,0.04,0.02,0.06,-0.04,-50.0,1249,614,2.9218776953125003,False,REGULAR,USD,2024-07-12,-0.6004414720222568,0.0
66,GME240712C00056000,2024-07-08 15:02:41+00:00,56.0,0.04,0.01,0.05,-0.04,-50.0,3,127,2.8750028125,False,REGULAR,USD,2024-07-12,-0.602630508470854,0.0
67,GME240712C00057000,2024-07-08 15:01:50+00:00,57.0,0.05,0.02,0.07,-0.28,-84.84848,3,23,3.0781273046874995,False,REGULAR,USD,2024-07-12,-0.5993469537979582,0.0
68,GME240712C00058000,2024-07-08 14:19:59+00:00,58.0,0.06,0.02,0.1,-0.010000002,-14.285716,4,125,3.2500018749999997,False,REGULAR,USD,2024-07-12,-0.5960633991250625,0.0
69,GME240712C00059000,2024-07-05 18:53:34+00:00,59.0,0.07,0.02,0.05,0.0,0.0,8,25,3.0781273046874995,False,REGULAR,USD,2024-07-12,-0.6015359902465554,0.0
70,GME240712C00060000,2024-07-08 15:15:16+00:00,60.0,0.03,0.03,0.05,-0.03,-50.0,384,1957,3.1875020312499998,False,REGULAR,USD,2024-07-12,-0.6004414720222568,0.0
71,GME240712C00065000,2024-07-08 15:16:03+00:00,65.0,0.03,0.02,0.04,-0.020000001,-40.000004,177,729,3.3125017187499997,False,REGULAR,USD,2024-07-12,-0.602630508470854,0.0
72,GME240712C00070000,2024-07-08 15:11:20+00:00,70.0,0.02,0.02,0.03,-0.030000001,-60.0,157,348,3.43750140625,False,REGULAR,USD,2024-07-12,-0.6037250266951526,0.0
73,GME240712C00075000,2024-07-08 15:17:44+00:00,75.0,0.03,0.02,0.03,-0.01,-25.0,68,556,3.6250009375000003,False,REGULAR,USD,2024-07-12,-0.6037250266951526,0.0
74,GME240712C00080000,2024-07-08 15:17:21+00:00,80.0,0.02,0.02,0.03,-0.01,-33.333336,159,1124,3.81250046875,False,REGULAR,USD,2024-07-12,-0.6037250266951526,0.0
75,GME240712C00085000,2024-07-08 15:10:31+00:00,85.0,0.01,0.02,0.06,-0.03,-75.0,57,347,4.187504765625,False,REGULAR,USD,2024-07-12,-0.6004414720222568,0.0
76,GME240712C00090000,2024-07-08 15:08:01+00:00,90.0,0.03,0.02,0.03,-0.020000001,-40.000004,117,971,4.12500484375,False,REGULAR,USD,2024-07-12,-0.6037250266951526,0.0
77,GME240712C00095000,2024-07-08 15:23:18+00:00,95.0,0.02,0.01,0.02,-0.02,-50.0,1247,14464,4.062504921875,False,REGULAR,USD,2024-07-12,-0.6059140631437496,0.0
