,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,mid_price,days_to_expiration
0,AAPL240712P00100000,2024-06-10 19:41:22+00:00,100.0,0.01,0.0,0.01,0.0,0.0,,1,2.1250046874999997,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
1,AAPL240712P00110000,2024-06-21 13:50:16+00:00,110.0,0.02,0.0,0.01,0.0,0.0,10.0,10,1.875000625,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
2,AAPL240712P00115000,2024-07-03 15:17:15+00:00,115.0,0.01,0.0,0.01,0.0,0.0,5.0,256,1.75000125,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
3,AAPL240712P00120000,2024-06-03 16:47:15+00:00,120.0,0.01,0.0,0.01,0.0,0.0,2.0,1,1.6875015625,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
4,AAPL240712P00125000,2024-06-11 17:12:17+00:00,125.0,0.02,0.0,0.01,0.0,0.0,,5,1.5625021874999998,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
5,AAPL240712P00130000,2024-06-28 19:57:52+00:00,130.0,0.01,0.0,0.01,0.0,0.0,3.0,3,1.46875265625,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
6,AAPL240712P00135000,2024-06-10 16:08:59+00:00,135.0,0.03,0.0,0.01,0.0,0.0,,1,1.3750031249999999,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
7,AAPL240712P00140000,2024-06-21 17:06:51+00:00,140.0,0.02,0.0,0.01,0.0,0.0,1.0,1,1.2812535937499998,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
8,AAPL240712P00145000,2024-06-28 19:12:03+00:00,145.0,0.01,0.0,0.01,0.0,0.0,2.0,14,1.1875040625,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
9,AAPL240712P00150000,2024-07-08 14:13:32+00:00,150.0,0.01,0.0,0.02,0.0,0.0,5.0,15,1.1875040625,False,REGULAR,USD,2024-07-12,-0.37037266011414977,0.0
10,AAPL240712P00155000,2024-06-28 19:00:04+00:00,155.0,0.01,0.0,0.01,0.0,0.0,3.0,19,1.0312548437500002,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
11,AAPL240712P00160000,2024-07-01 14:50:46+00:00,160.0,0.01,0.0,0.01,0.0,0.0,2.0,88,0.937500625,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
12,AAPL240712P00165000,2024-07-05 15:11:52+00:00,165.0,0.01,0.0,0.01,0.0,0.0,1.0,144,0.87500125,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
13,AAPL240712P00170000,2024-07-05 13:30:00+00:00,170.0,0.02,0.0,0.01,0.0,0.0,4.0,898,0.7812521875,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
14,AAPL240712P00175000,2024-07-08 13:45:39+00:00,175.0,0.01,0.0,0.01,0.0,0.0,3.0,1661,0.7187528125,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
15,AAPL240712P00180000,2024-07-08 14:03:32+00:00,180.0,0.01,0.0,0.01,-0.01,-50.0,573.0,3789,0.64062859375,False,REGULAR,USD,2024-07-12,-0.3708395483433107,0.0
16,AAPL240712P00185000,2024-07-08 15:08:03+00:00,185.0,0.02,0.01,0.02,0.0,0.0,200.0,3184,0.632816171875,False,REGULAR,USD,2024-07-12,-0.3699057718849888,0.0
17,AAPL240712P00187500,2024-07-08 14:45:01+00:00,187.5,0.02,0.01,0.02,-0.01,-33.333336,22.0,286,0.5937540625000001,False,REGULAR,USD,2024-07-12,-0.3699057718849888,0.0
18,AAPL240712P00190000,2024-07-08 15:15:53+00:00,190.0,0.02,0.01,0.03,0.0,0.0,571.0,5184,0.57812921875,False,REGULAR,USD,2024-07-12,-0.3694388836558279,0.0
19,AAPL240712P00192500,2024-07-08 14:40:05+00:00,192.5,0.03,0.02,0.03,-0.01,-25.0,511.0,2196,0.5507857421875001,False,REGULAR,USD,2024-07-12,-0.368971995426667,0.0
20,AAPL240712P00195000,2024-07-08 15:18:36+00:00,195.0,0.04,0.04,0.04,0.0,0.0,405.0,5109,0.5429733203125001,False,REGULAR,USD,2024-07-12,-0.3675713307391842,0.0
21,AAPL240712P00197500,2024-07-08 15:23:26+00:00,197.5,0.04,0.04,0.05,-0.010000002,-20.000002,549.0,2074,0.507817421875,False,REGULAR,USD,2024-07-12,-0.3671044425100232,0.0
22,AAPL240712P00200000,2024-07-08 15:17:21+00:00,200.0,0.05,0.04,0.05,-0.009999998,-16.666662,4638.0,5704,0.4726615234375,False,REGULAR,USD,2024-07-12,-0.3671044425100232,0.0
23,AAPL240712P00202500,2024-07-08 15:24:19+00:00,202.5,0.06,0.06,0.07,-0.030000005,-33.333336,216.0,2054,0.45313046875,False,REGULAR,USD,2024-07-12,-0.3652368895933795,0.0
24,AAPL240712P00205000,2024-07-08 15:16:26+00:00,205.0,0.08,0.07,0.08,-0.010000005,-11.111116,1871.0,6357,0.41797457031249996,False,REGULAR,USD,2024-07-12,-0.36430311313505764,0.0
25,AAPL240712P00207500,2024-07-08 15:24:31+00:00,207.5,0.08,0.08,0.09,-0.049999997,-35.714283,1755.0,3945,0.38184211914062494,False,REGULAR,USD,2024-07-12,-0.3633693366767358,0.0
26,AAPL240712P00210000,2024-07-08 15:22:50+00:00,210.0,0.11,0.1,0.11,-0.040000007,-26.666668,2751.0,10169,0.34961587890624996,False,REGULAR,USD,2024-07-12,-0.3615017837600921,0.0
27,AAPL240712P00212500,2024-07-08 15:24:06+00:00,212.5,0.13,0.12,0.13,-0.050000012,-27.777782,955.0,8013,0.3129951513671875,False,REGULAR,USD,2024-07-12,-0.35963423084344837,0.0
28,AAPL240712P00215000,2024-07-08 15:23:48+00:00,215.0,0.16,0.16,0.17,-0.09,-36.0,7884.0,13742,0.2802806347656249,False,REGULAR,USD,2024-07-12,-0.35589912501016097,0.0
29,AAPL240712P00217500,2024-07-08 15:24:14+00:00,217.5,0.24,0.24,0.25,-0.12000002,-33.333336,9261.0,6980,0.2524488818359375,False,REGULAR,USD,2024-07-12,-0.3484289133435861,0.0
30,AAPL240712P00220000,2024-07-08 15:24:28+00:00,220.0,0.41,0.4,0.42,-0.19000003,-31.147543,22215.0,16608,0.2304764453125,False,REGULAR,USD,2024-07-12,-0.33302160178127543,0.0
31,AAPL240712P00222500,2024-07-08 15:24:41+00:00,222.5,0.78,0.79,0.81,-0.31000006,-28.18182,21939.0,8230,0.21875781249999998,False,REGULAR,USD,2024-07-12,-0.296604319906723,0.0
32,AAPL240712P00225000,2024-07-08 15:24:06+00:00,225.0,1.5,1.51,1.53,-0.38,-20.320856,25902.0,7495,0.2111895288085937,False,REGULAR,USD,2024-07-12,-0.22937241490754928,0.0
33,AAPL240712P00227500,2024-07-08 15:24:17+00:00,227.5,2.67,2.66,2.69,-0.37999988,-12.459013,3881.0,1251,0.2067950415039062,True,REGULAR,USD,2024-07-12,-0.12152123397137476,0.0
34,AAPL240712P00230000,2024-07-08 15:23:44+00:00,230.0,4.3,4.2,4.35,-0.39999962,-8.510631,1749.0,812,0.20899228515624996,True,REGULAR,USD,2024-07-12,0.027882999360122455,0.0
35,AAPL240712P00232500,2024-07-08 15:23:19+00:00,232.5,6.2,6.1,6.3,-0.87000036,-12.305521,62.0,91,0.20069158691406247,True,REGULAR,USD,2024-07-12,0.2076349675870799,0.0
36,AAPL240712P00235000,2024-07-08 15:23:23+00:00,235.0,8.35,8.35,8.55,-0.5999994,-6.3897705,80.0,185,0.19385571777343752,True,REGULAR,USD,2024-07-12,0.41773467070949777,0.0
37,AAPL240712P00237500,2024-07-08 14:52:38+00:00,237.5,11.55,10.65,11.05,-0.42000008,-3.5087724,13.0,14,0.23731231445312498,True,REGULAR,USD,2024-07-12,0.6418410207067438,0.0
38,AAPL240712P00240000,2024-07-08 15:22:15+00:00,240.0,13.4,13.2,13.35,-1.3500004,-9.152544,22.0,41,1.0000000000000003e-05,True,REGULAR,USD,2024-07-12,0.8682818118497939,0.0
39,AAPL240712P00242500,2024-07-03 14:19:55+00:00,242.5,22.2,15.5,16.1,0.0,0.0,,0,0.340826904296875,True,REGULAR,USD,2024-07-12,1.104060367576063,0.0
40,AAPL240712P00245000,2024-07-08 15:18:07+00:00,245.0,18.64,18.3,18.5,-0.8100014,-4.164531,31.0,8,0.32813171874999997,True,REGULAR,USD,2024-07-12,1.3468422467397458,0.0
41,AAPL240712P00250000,2024-06-07 17:37:34+00:00,250.0,53.65,22.9,24.5,0.0,0.0,1.0,0,0.5009815527343751,True,REGULAR,USD,2024-07-12,1.8417437696503305,0.0
42,AAPL240712P00290000,2024-07-05 13:58:56+00:00,290.0,66.3,63.0,63.95,0.0,0.0,3.0,2,0.8320329296874999,True,REGULAR,USD,2024-07-12,5.555839632625518,0.0
