,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,mid_price,days_to_expiration
0,GME240712P00005000,2024-07-08 14:47:44+00:00,5.0,0.01,0.01,0.02,0.0,0.0,1198.0,1081,5.500003124999999,False,REGULAR,USD,2024-07-12,-0.6837077831816889,0.0
1,GME240712P00009000,2024-06-28 19:24:41+00:00,9.0,0.01,0.0,0.01,0.0,0.0,10.0,114,3.1250021875,False,REGULAR,USD,2024-07-12,-0.6844031883017407,0.0
2,GME240712P00010000,2024-07-02 16:01:49+00:00,10.0,0.01,0.0,0.01,0.0,0.0,3.0,6865,2.8750028125,False,REGULAR,USD,2024-07-12,-0.6844031883017407,0.0
3,GME240712P00011000,2024-07-02 13:33:26+00:00,11.0,0.01,0.0,0.01,0.0,0.0,1.0,453,2.50000375,False,REGULAR,USD,2024-07-12,-0.6844031883017407,0.0
4,GME240712P00012000,2024-07-08 14:19:13+00:00,12.0,0.04,0.0,0.01,0.03,300.0,20.0,403,2.2500043749999996,False,REGULAR,USD,2024-07-12,-0.6844031883017407,0.0
5,GME240712P00013000,2024-07-02 13:54:21+00:00,13.0,0.01,0.0,0.01,0.0,0.0,20.0,356,2.0625048437499998,False,REGULAR,USD,2024-07-12,-0.6844031883017407,0.0
6,GME240712P00014000,2024-07-05 17:57:27+00:00,14.0,0.01,0.0,0.01,0.0,0.0,1.0,499,1.8125009374999999,False,REGULAR,USD,2024-07-12,-0.6844031883017407,0.0
7,GME240712P00015000,2024-07-05 18:46:18+00:00,15.0,0.01,0.0,0.0,0.0,0.0,173.0,3596,0.500005,False,REGULAR,USD,2024-07-12,-0.6847508908617667,0.0
8,GME240712P00015500,2024-07-05 19:49:18+00:00,15.5,0.01,0.0,0.01,0.0,0.0,5.0,138,1.5000025,False,REGULAR,USD,2024-07-12,-0.6844031883017407,0.0
9,GME240712P00016000,2024-07-08 14:25:34+00:00,16.0,0.01,0.0,0.01,0.0,0.0,4.0,386,1.4375028125,False,REGULAR,USD,2024-07-12,-0.6844031883017407,0.0
10,GME240712P00016500,2024-07-05 15:37:14+00:00,16.5,0.01,0.0,0.01,0.0,0.0,1.0,438,1.3125034374999998,False,REGULAR,USD,2024-07-12,-0.6844031883017407,0.0
11,GME240712P00017000,2024-07-05 19:57:28+00:00,17.0,0.01,0.01,0.02,0.0,0.0,389.0,669,1.421877890625,False,REGULAR,USD,2024-07-12,-0.6837077831816889,0.0
12,GME240712P00017500,2024-07-05 19:56:43+00:00,17.5,0.01,0.0,0.02,0.0,0.0,55.0,179,1.2500037499999999,False,REGULAR,USD,2024-07-12,-0.6840554857417149,0.0
13,GME240712P00018000,2024-07-08 14:35:14+00:00,18.0,0.01,0.0,0.02,-0.01,-50.0,100.0,1146,1.15625421875,False,REGULAR,USD,2024-07-12,-0.6840554857417149,0.0
14,GME240712P00018500,2024-07-08 14:37:09+00:00,18.5,0.01,0.01,0.02,-0.03,-75.0,28.0,204,1.125004375,False,REGULAR,USD,2024-07-12,-0.6837077831816889,0.0
15,GME240712P00019000,2024-07-08 14:41:07+00:00,19.0,0.01,0.01,0.1,-0.02,-66.66667,41.0,4092,1.2890660546875,False,REGULAR,USD,2024-07-12,-0.6809261627014818,0.0
16,GME240712P00019500,2024-07-08 15:24:28+00:00,19.5,0.02,0.01,0.02,-0.01,-50.0,23.0,289,0.9531254687499999,False,REGULAR,USD,2024-07-12,-0.6837077831816889,0.0
17,GME240712P00020000,2024-07-08 15:12:23+00:00,20.0,0.01,0.02,0.04,-0.04,-80.00001,3567.0,5024,0.9609378906249999,False,REGULAR,USD,2024-07-12,-0.6826646755016113,0.0
18,GME240712P00020500,2024-07-08 15:21:50+00:00,20.5,0.05,0.01,0.07,-0.009999998,-19.999996,96.0,425,0.9062509375,False,REGULAR,USD,2024-07-12,-0.6819692703815595,0.0
19,GME240712P00021000,2024-07-08 15:16:08+00:00,21.0,0.05,0.03,0.05,-0.029999997,-50.0,301.0,846,0.8125018749999999,False,REGULAR,USD,2024-07-12,-0.6819692703815595,0.0
20,GME240712P00021500,2024-07-08 15:17:04+00:00,21.5,0.05,0.04,0.06,-0.05,-50.0,566.0,385,0.7460962890625,False,REGULAR,USD,2024-07-12,-0.6812738652615076,0.0
